id,subdistrict_id,soil_type_id,fertility_top,ph_top,ph_low,year
10770102,770102,48,M,5.5-6.5,6.0-7.0,2566
10770103,770103,48,M,5.5-6.5,6.0-7.0,2566
10770104,770104,56,L,5.0-6.0,4.5-5.5,2566
10770105,770105,48,M,5.5-6.5,5.0-6.0,2566
10770106,770106,48,M,5.5-6.5,5.0-6.0,2566
10770201,770201,48,M,5.5-6.5,5.0-6.0,2566
10770202,770202,43,L,5.0-6.5,5.0-6.0,2566
10770206,770206,48,M,5.5-6.5,5.0-6.0,2566
10770207,770207,48,M,5.5-6.5,5.0-6.0,2566
10770301,770301,40,L,5.5-7.0,5.5-8.0,2566
10770302,770302,50,L,5.5-6.5,5.0-5.5,2566
10770303,770303,50,L,5.5-6.5,5.0-5.5,2566
10770304,770304,48,M,5.5-6.5,6.0-7.0,2566
10770305,770305,56,L,5.0-6.0,4.5-5.5,2566
10770306,770306,56,L,5.0-6.0,4.5-5.5,2566
10770401,770401,62,zSC,zSC,zSC,2566
10770402,770402,50,L,5.5-6.5,5.0-5.5,2566
10770403,770403,50,L,5.5-6.5,5.0-5.5,2566
10770404,770404,62,zSC,zSC,zSC,2566
10770405,770405,62,zSC,zSC,zSC,2566
10770406,770406,50,L,5.5-6.5,5.0-5.5,2566
10770407,770407,39,L,4.5-5.5,4.5-5.5,2566
10770501,770501,62,zSC,zSC,zSC,2566
10770502,770502,50,L,5.5-6.5,5.0-5.5,2566
10770503,770503,62,zSC,zSC,zSC,2566
10770504,770504,39,L,4.5-5.5,4.5-5.5,2566
10770505,770505,62,zSC,zSC,zSC,2566
10770602,770602,21,M,6.0-7.0,5.5-6.5,2566
10770607,770607,48,M,5.5-6.5,5.0-6.0,2566
10770608,770608,62,zSC,zSC,zSC,2566
10770609,770609,48,M,5.5-6.5,5.0-6.0,2566
10770703,770703,56,L,5.0-6.5,5.0-6.5,2566
10770704,770704,48,M,5.5-6.5,5.0-6.0,2566
10770705,770705,62,zSC,zSC,zSC,2566
10770706,770706,48,M,5.5-6.5,5.0-6.0,2566
10770707,770707,48,M,5.5-6.5,5.0-6.0,2566
10770802,770802,48,M,5.5-6.5,5.0-6.0,2566
10770803,770803,48,M,5.5-6.5,5.0-6.0,2566
10770804,770804,48,M,5.5-6.5,5.0-6.0,2566
10770805,770805,48,M,5.5-6.5,5.0-6.0,2566
10800101,800101,53,L,5.0-5.5,4.5-5.5,2566
10800107,800107,3,M,5.5-6.5,5.5-8.0,2566
10800108,800108,22,L,4.5-6.0,4.5-5.5,2566
10800112,800112,32,L,4.5-6.0,4.5-5.0,2566
10800113,800113,32,L,5.0-5.5,4.5-5.0,2566
10800114,800114,6,L,5.5-6.5,4.5-5.5,2566
10800115,800115,6,L,5.5-6.5,4.5-5.5,2566
10800116,800116,34,L,5.0-5.5,4.5-5.0,2566
10800118,800118,17,L,4.5-6.0,4.5-5.5,2566
10800120,800120,3,M,5.5-8.0,5.0-6.0,2566
10800122,800122,43,L,4.5-6.0,5.0-6.0,2566
10800201,800201,50,L,5.0-6.5,4.5-5.5,2566
10800202,800202,50,L,5.0-5.5,4.5-5.5,2566
10800203,800203,17,L,4.5-5.0,4.5-5.5,2566
10800204,800204,34,L,5.0-5.5,4.5-5.0,2566
10800205,800205,17,L,5.5-6.5,4.5-5.5,2566
10800301,800301,34,L,5.0-5.5,4.5-5.0,2566
10800302,800302,34,L,5.0-5.5,4.5-5.0,2566
10800303,800303,32,L,5.0-5.5,4.5-5.0,2566
10800304,800304,32,L,5.0-5.5,4.5-5.0,2566
10800305,800305,32,L,4.5-6.0,4.5-5.5,2566
10800401,800401,26,M,5.0-6.5,4.5-5.5,2566
10800403,800403,34,L,5.0-5.5,4.5-5.5,2566
10800404,800404,45,L,5.0-6.0,4.5-5.5,2566
10800405,800405,51,L,4.5-5.0/5.0-5.5,4.5-5.5,2566
10800406,800406,51,L,5.0-5.5,4.5-5.5,2566
10800407,800407,32,L,5.0-5.5,4.5-5.5,2566
10800409,800409,26,L,5.0-5.5,4.5-5.5,2566
10800410,800410,26,L,5.0-5.5,4.5-5.5,2566
10800415,800415,26,L,5.0-5..5,4.5-5.5,2566
10800416,800416,26,L,5.0-5.5,4.5-5.0,2566
10800501,800501,34,L,5.0-5.5,4.5-5.0,2566
10800502,800502,62,L,5.0-6.5,4.5-5.5,2566
10800503,800503,34,L,5.0-5.5,4.5-5.5,2566
10800504,800504,34,L,5.0-5.5,4.5-5.5,2566
10800505,800505,53,L,5.0-5.5,4.5-5.5,2566
10800601,800601,3,M,5.5-8.0,6.5-8.0,2566
10800603,800603,53,L,5.0-5.5,4.5-5.5,2566
10800604,800604,53,L,5.0-5.5,4.5-5.5,2566
10800607,800607,53,L,5.0-5.5,4.5-5.5,2566
10800611,800611,10,M,4.5-5.0,<4.5,2566
10800612,800612,10,M,4.5-5.0,<4.5,2566
10800613,800613,10,M,4.5-5.0,4.5-7.0,2566
10800701,800701,14,L,4.5-5.0,4.5-5.0,2566
10800702,800702,6,L,5.5-6.5,4.5-5.5,2566
10800703,800703,6,L,5.5-6.5,4.5-5.5,2566
10800704,800704,10,L,4.5-5.0,<4.5,2566
10800705,800705,26,L,4.5-5.0,4.5-5.5,2566
10800706,800706,43,L,4.5-5.0,5.0-6.0,2566
10800707,800707,16,L,4.5-6.0,4.5-5.5,2566
10800708,800708,6,L,5.5-6.5,4.5-5.5,2566
10800709,800709,45,L,4.5-6.0,4.5-5.5,2566
10800710,800710,62,L,5.5-6.5,4.5-5.5,2566
10800711,800711,6,L,5.5-6.5,4.5-5.5,2566
10800801,800801,43,L,5.0-6.5,5.0-6.0,2566
10800802,800802,43,L,4.5-6.0,5.0-6.0,2566
10800803,800803,17,L,5.5-6.5,4.5-5.5,2566
10800804,800804,17,L,4.5-6.0,4.5-5.5,2566
10800806,800806,32,L,5.0-5.5,4.5-5.0,2566
10800807,800807,17,L,4.5-6.0,4.5-5.5,2566
10800809,800809,17,L,4.5-6.0,4.5-5.5,2566
10800810,800810,17,M,4.5-6.0,4.5-5.5,2566
10800811,800811,32,L,5.0-5.5,4.5-5.5,2566
10800813,800813,14,L,4.5-5.0,5.0-6.0,2566
10800901,800901,62,zSC,zSC,zSC,2566
10800902,800902,62,L,zSC,4.5-5.5,2566
10800903,800903,53,L,5.0-5.5,4.5-5.5,2566
10800904,800904,34,L,5.0-5.5,4.5-5.5,2566
10800905,800905,34,L,5.0-5.5,4.5-5.5,2566
10800906,800906,34,L,5.0-5.5,4.5-5.5,2566
10800907,800907,34,L,5.0-5.5,4.5-5.0,2566
10800908,800908,62,L,zSC,4.5-5.5,2566
10800909,800909,53,L,5.0-5.5,4.5-5.5,2566
10800910,800910,51,L,5.0-5.5,4.5-5.5,2566
10800911,800911,51,L,5.0-5.5,4.5-5.5,2566
10800912,800912,62,L,zSC,4.5-5.5,2566
10800913,800913,34,L,5.0-6.5,4.5-5.5,2566
10801001,801001,53,L,5.0-5.5,4.5-5.5,2566
10801002,801002,34,L,5.0-5.5,4.5-5.5,2566
10801003,801003,6,L,5.5-6.5,4.5-5.5,2566
10801101,801101,34,L,5.0-5.5,4.5-5.0,2566
10801102,801102,26,L,5.0-5.5,4.5-5.5,2566
10801103,801103,34,L,5.0-5.5,4.5-5.0,2566
10801104,801104,34,L,5.0-5.5,4.5-5.0,2566
10801105,801105,34,L,5.0-5.5,4.5-5.5,2566
10801106,801106,34,L,5.0-5.5,4.5-5.0,2566
10801107,801107,34,L,5.0-6.5/5.0-6.5,4.5-5.5,2566
10801203,801203,53,L,5.0-5.5,4.5-5.5,2566
10801204,801204,3,M,5.5-8.0,6.5-8.0,2566
10801301,801301,34,L,5.0-5.5,4.5-5.5,2566
10801302,801302,51,L,5.0-5.5,4.5-5.5,2566
10801303,801303,17,L,5.0-6.0,4.5-5.5,2566
10801304,801304,50,L,5.0-6.5,4.5-5.5,2566
10801305,801305,43,L,5.0-6.5,5.0-6.0,2566
10801306,801306,32,L,4.5-5.0,4.5-5.5,2566
10801401,801401,43,L,6.0-8.0,4.5-5.5,2566
10801402,801402,23,L,5.0-5.5,4.5-5.5,2566
10801403,801403,17,L,4.5-6.0,4.5-5.5,2566
10801404,801404,43,L,5.0-6.5,4.5-5.5,2566
10801405,801405,6,L,4.5-6.0,4.5-5.5,2566
10801406,801406,62,L,zSC,4.5-5.5,2566
10801407,801407,39,L,5.0-5.5,4.5-5.0,2566
10801408,801408,34,L,5.0-5.5,4.5-5.5,2566
10801409,801409,39,L,5.0-5.5,4.5-5.5,2566
10801501,801501,62,L,5.0-5.5,zSC,2566
10801502,801502,62,L,zSC,4.5-5.5,2566
10801503,801503,62,L,4.5-5.0,4.5-5.5,2566
10801602,801602,43,L,6.0-8.0,6.0-8.0,2566
10801603,801603,10,L,4.5-5.0,4.5-5.5,2566
10801604,801604,10,M,4.5-5.0,<4.5,2566
10801605,801605,34,L,5.0-5.5,4.5-5.0,2566
10801606,801606,50,L,4.5-5.5,4.5-5.5,2566
10801607,801607,53,L,5.0-5.5,4.5-5.5,2566
10801609,801609,3,M,5.5-6.5,5.5-8.0,2566
10801701,801701,62,L,zSC,zSC,2566
10801702,801702,34,L,5.0-5.5,4.5-5.5,2566
10801703,801703,34,L,5.0-6.5,4.5-5.5,2566
10801704,801704,50,L,5.0-5.5,4.5-5.5,2566
10801801,801801,50,L,5.0-6.5,4.5-5.5,2566
10801802,801802,51,L,5.0-5.5,4.5-5.5,2566
10801803,801803,34,L,5.0-5.5,4.5-5.5,2566
10801901,801901,62,zSC,zSC,zSC,2566
10801902,801902,34,L,5.0-5.5,4.5-5.0,2566
10801903,801903,45,L,5.0-6.0,4.5-5.5,2566
10801904,801904,53,L,5.0-5.5,4.5-5.5,2566
10801905,801905,6,L,5.5-6.5,4.5-5.5,2566
10801906,801906,51,L,4.5-5.0,4.5-5.5,2566
10802001,802001,17,L,4.5-6.0,4.5-5.5,2566
10802002,802002,17,L,5.0-6.0,4.5-5.5,2566
10802003,802003,6,L,5.5-6.5,4.5-5.5,2566
10802004,802004,14,L,4.5-5.0,4.5-5.0,2566
10802101,802101,32,L,5.0-5.5,4.5-5.5,2566
10802102,802102,51,L,4.5-5.0,4.5-5.5,2566
10802103,802103,32,L,4.5-6.0,4.5-5.5,2566
10802104,802104,51,L,4.5-5.0,4.5-5.5,2566
10802201,802201,34,L,5.0-5.5,4.5-5.5,2566
10802202,802202,34,L,5.0-5.5,4.5-5.0,2566
10802203,802203,50,L,5.0-5.5,4.5-5.5,2566
10802301,802301,53,L,5.0-5.5,4.5-5.5,2566
10802303,802303,10,M,4.5-5.0,4.5-7.0,2566
10802304,802304,10,L,4.5-5.0,4.5-5.0,2566
10810101,810101,39,L,zSC,zSC,2566
10810103,810103,34,L,5.0-5.5,4.5-5.0,2566
10810105,810105,26,zSC,5.0-6.5,4.5-5.5,2566
10810106,810106,62,zSC,zSC,zSC,2566
10810111,810111,62,zSC,zSC,zSC,2566
10810115,810115,62,zSC,zSC,zSC,2566
10810116,810116,50,L,5.5-6.5,5.0-5.5,2566
10810117,810117,62,L,zSC,zSC,2566
10810118,810118,13,H,6.0-8.0,7.5-8.0,2566
10810201,810201,34,L,5.0-5.5,4.5-5.0,2566
10810202,810202,34,L,5.0-5.5,4.5-5.5,2566
10810203,810203,34,L,5.0-5.5,4.5-5.5,2566
10810204,810204,34,L,5.0-6.5,4.5-5.5,2566
10810205,810205,62,L,zSC,4.5-5.5,2566
10810206,810206,34,L,5.0-5.5,4.5-5.0,2566
10810301,810301,51,L,4.5-5.0,4.5-5.5,2566
10810302,810302,51,L,4.5-5.0,4.5-5.5,2566
10810303,810303,51,L,4.5-5.0,4.5-5.5,2566
10810304,810304,13,L,6.0-8.0,4.5-5.5,2566
10810305,810305,51,L,4.5-5.0,4.5-5.5,2566
10810401,810401,50,L,5.0-6.5/5.0-6.5,4.5-5.5,2566
10810402,810402,34,L,5.0-5.5,4.5-5.5,2566
10810403,810403,34,L,6.0-8.0,4.5-5.5,2566
10810404,810404,34,L,6.0-8.0,4.5-5.5,2566
10810405,810405,34,L,5.0-5.5,4.5-5.0,2566
10810406,810406,34,L,5.0-5.5,4.5-5.0,2566
10810407,810407,34,L,5.0-5.5,4.5-5.0,2566
10810501,810501,62,zSC,zSC,zSC,2566
10810502,810502,34,L,5.0-5.5,4.5-5.5,2566
10810503,810503,34,M,4.5-6.0,4.5-5.5,2566
10810504,810504,62,L,5.0-6.5,4.5-5.5,2566
10810505,810505,13,H,5.0-6.5,4.5-5.5,2566
10810506,810506,26,M,5.0-6.5,4.5-5.5,2566
10810507,810507,26,L,5.0-6.5,4.5-5.5,2566
10810508,810508,34,L,5.0-5.5,4.5-5.5,2566
10810509,810509,62,zSC,5.0-6.5,4.5-5.5,2566
10810601,810601,62,zSC,zSC,4.5-5.5,2566
10810602,810602,34,L,5.0-5.5,4.5-5.5,2566
10810603,810603,34,M,6.0-7.0,4.5-5.5,2566
10810604,810604,34,L,5.0-5.5,4.5-5.5,2566
10810701,810701,62,L,zSC,4.5-5.5,2566
10810702,810702,62,L,zSC,4.5-5.5,2566
10810703,810703,34,L,5.0-5.5,4.5-5.0,2566
10810704,810704,62,zSC,zSC,zSC,2566
